rank,signature_name,severity,severity_label,sample_count,categories,description,ttps,source
1,antisandbox_unhook,3,Medium,172,anti-sandbox,Tries to unhook or modify Windows functions monitored by CAPE,"T1089, T1562, T1562.001, U1330",windows/antisandbox_unhook.py
2,antivm_generic_system,3,Medium,109,anti-vm,"Checks the system manufacturer, likely for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001",windows/antivm_generic_system.py
3,enumerates_physical_drives,3,Medium,93,"bootkit, rootkit, wiper",Enumerates physical drives,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
4,physical_drive_access,3,Medium,93,"bootkit, rootkit, wiper",Attempted to write directly to a physical drive,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
5,procmem_yara,3,Medium,81,malware,"Yara detections observed in process dumps, payloads or dropped files",,all/procmem_yara.py
6,suspicious_command_tools,3,Medium,58,"command, lateral",Uses suspicious command line tools or Windows utilities,T1202,windows/windows_utilities.py
7,infostealer_cookies,3,Medium,54,infostealer,"Touches a file containing cookies, possibly for information gathering",T1539,windows/infostealer_cookies.py
8,cmdline_obfuscation,3,Medium,35,command,Appears to use command line obfuscation,"T1027, T1059",windows/cmdline_anomaly.py
9,persistence_autorun_tasks,3,Medium,35,persistence,Installs itself for autorun at Windows startup,"T1053, T1112, T1053.005",windows/persistence_autorun.py
10,antiav_detectfile,3,Medium,35,anti-av,Attempts to identify installed AV products by installation directory,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_detectfile.py
11,recon_beacon,3,Medium,31,"network, discovery",A process sent information about the computer to a remote location.,"T1041, T1082, T1592, T1592.004",windows/recon_beacon.py
12,infostealer_browser,3,Medium,27,infostealer,Steals private information from local Internet browsers,"T1081, T1503, T1003, T1005, T1552",windows/infostealer_browser.py
13,recon_fingerprint,3,Medium,16,discovery,Collects information to fingerprint the system,"T1012, T1082",windows/recon_fingerprint.py
14,registry_credential_store_access,3,Medium,16,"persistence, lateral, credential_dumping",Accessed credential storage registry keys,"T1003, T1003.002",windows/credential_dumping.py
15,antiav_servicestop,3,Medium,15,anti-av,Attempts to stop active services,"T1031, T1089, T1489, T1543, T1543.003",windows/antiav_servicestop.py
16,disables_windowsupdate,3,Medium,14,generic,Attempts to disable Windows Auto Updates,T1112,windows/disables_windowsupdate.py
17,deletes_executed_files,3,Medium,13,"persistence, stealth",Deletes executed files from disk,T1070,windows/deletes_executed.py
18,injection_write_exe_process,3,Medium,11,"injection, unpacking",Writes an executable to the memory of another process,T1055,windows/injection_writememory.py
19,static_pe_anomaly,3,Medium,10,static,Anomalous binary characteristics,"T1099, T1070, T1070.006, T1099, T1070",all/static_pe_anomaly.py
20,multiple_useragents,3,Medium,8,network,Network activity contains more than one unique useragent.,T1071,windows/multiple_ua.py
21,removes_zoneid_ads,3,Medium,8,generic,Attempts to remove evidence of file being downloaded from the Internet,"T1096, T1070, T1564, T1564.004",windows/removes_zoneid_ads.py
22,persistence_autorun,3,Medium,8,persistence,Installs itself for autorun at Windows startup,"T1060, T1112, T1547, T1547.001",windows/persistence_autorun.py
23,binary_yara,3,Medium,7,static,Binary file triggered YARA rule,,all/binary_yara.py
24,pe_compile_timestomping,3,Medium,7,generic,Binary compilation timestomping detected,"T1099, T1070, T1070.006",all/static_pe_anomaly.py
25,network_fake_useragent,3,Medium,6,"network, evasion",Fake User-Agent detected,T1032,windows/network_fake_useragent.py
26,infostealer_keylog,3,Medium,6,infostealer,Sniffs keystrokes,"T1081, T1003, T1005, T1056, T1552",windows/infostealer_keylog.py
27,cape_extracted_content,3,Medium,5,"banker, injection","CAPE detected injection into a browser process, likely for Man-In-Browser (MITB) infostealing",T1185,windows/cape_browser_mitb.py
28,recon_programs,3,Medium,5,discovery,Collects information about installed applications,"T1012, T1082, T1518",windows/recon_programs.py
29,virus,3,Medium,4,virus,Likely virus infection of existing binary,,windows/virus.py
30,antisandbox_mouse_hook,3,Medium,4,"anti-sandbox, generic",Installs an hook procedure to monitor for mouse events,"T1056, T1497, T1497.002, U1317",windows/antisandbox_mouse_hook.py
31,warzonerat_files,3,Medium,4,rat,Accesses or creates Warzone RAT directories and/or files,T1219,windows/rat_warzone.py
32,persistence_ads,3,Medium,3,persistence,Attempts to interact with an Alternate Data Stream (ADS),"T1096, T1564, T1564.004, U0501",windows/persistence_ads.py
33,injection_runpe,3,Medium,3,injection,"Executed a process and injected code into it, probably while unpacking",T1055,windows/injection_runpe.py
