rank,signature_name,severity,severity_label,sample_count,categories,description,ttps,source
1,procmem_yara,3,Medium,1169,malware,"Yara detections observed in process dumps, payloads or dropped files",,all/procmem_yara.py
2,static_pe_pdbpath,3,Medium,918,static,The PE file contains a PDB path,,all/static_pe_anomaly.py
3,persistence_autorun,3,Medium,792,persistence,Installs itself for autorun at Windows startup,"T1060, T1112, T1547, T1547.001",windows/persistence_autorun.py
4,deletes_executed_files,3,Medium,683,"persistence, stealth",Deletes executed files from disk,T1070,windows/deletes_executed.py
5,antiav_servicestop,3,Medium,570,anti-av,Attempts to stop active services,"T1031, T1089, T1489, T1543, T1543.003, T1562, T1562.001",windows/antiav_servicestop.py
6,disables_windowsupdate,3,Medium,563,generic,Attempts to disable Windows Auto Updates,T1112,windows/disables_windowsupdate.py
7,infostealer_cookies,3,Medium,400,infostealer,"Touches a file containing cookies, possibly for information gathering",T1539,windows/infostealer_cookies.py
8,antisandbox_sleep,3,Medium,357,anti-sandbox,A process attempted to delay the analysis task.,,windows/antisandbox_sleep.py
9,suspicious_command_tools,3,Medium,356,"command, lateral",Uses suspicious command line tools or Windows utilities,T1202,windows/windows_utilities.py
10,persistence_autorun_tasks,3,Medium,334,persistence,Installs itself for autorun at Windows startup,"T1053, T1112, T1053.005",windows/persistence_autorun.py
11,antiav_detectfile,3,Medium,328,anti-av,Attempts to identify installed AV products by installation directory,"T1063, T1083, T1518, T1518.001, U1314",windows/antiav_detectfile.py
12,recon_beacon,3,Medium,327,"network, discovery",A process sent information about the computer to a remote location.,"T1041, T1082, T1592, T1592.004",windows/recon_beacon.py
13,cmdline_obfuscation,3,Medium,286,command,Appears to use command line obfuscation,"T1027, T1059",windows/cmdline_anomaly.py
14,antivm_generic_system,3,Medium,262,anti-vm,"Checks the system manufacturer, likely for anti-virtualization","T1012, T1057, T1082, T1497, T1497.001, U1332",windows/antivm_generic_system.py
15,injection_write_exe_process,3,Medium,256,"injection, unpacking",Writes an executable to the memory of another process,T1055,windows/injection_writememory.py
16,antisandbox_unhook,3,Medium,221,anti-sandbox,Tries to unhook or modify Windows functions monitored by CAPE,"T1089, T1562, T1562.001, U1330",windows/antisandbox_unhook.py
17,enumerates_physical_drives,3,Medium,152,"bootkit, rootkit, wiper",Enumerates physical drives,"T1067, T1014, T1542, T1542.003",windows/bootkit.py
