model,prompt,avg_prompt_tokens,avg_response_tokens,avg_total_tokens,avg_duration_sec,total_queries
DeepSeek-R1 (7B),Zero-shot,2610,1247,3857,33.20,696
DeepSeek-R1 (7B),Chain-of-Thought,2806,1262,4068,31.68,749
DeepSeek-R1 (7B),Counterfactual,2771,1235,4006,31.78,711
DeepSeek-R1 (7B),Adversarial,2991,1183,4174,33.60,798
Gemma3 (12B),Zero-shot,2386,247,2633,20.16,880
Gemma3 (12B),Chain-of-Thought,2579,328,2907,20.57,865
Gemma3 (12B),Counterfactual,2636,347,2983,20.19,873
Gemma3 (12B),Adversarial,2680,381,3061,21.81,864
LLaMA3.1 (8B),Zero-shot,2077,390,2467,22.36,600
LLaMA3.1 (8B),Chain-of-Thought,2221,423,2644,21.97,618
LLaMA3.1 (8B),Counterfactual,2309,441,2750,22.27,620
LLaMA3.1 (8B),Adversarial,2265,474,2739,21.33,632
Qwen3 (8B),Zero-shot,1832,277,2109,64.09,661
Qwen3 (8B),Chain-of-Thought,1979,285,2264,66.75,701
Qwen3 (8B),Counterfactual,2019,305,2324,65.81,681
Qwen3 (8B),Adversarial,2057,285,2342,68.32,724
