path,count,success_count,success_rate,outcome
Partial -> Partial -> Partial,1851,0,0.00%,Stuck
Success -> - -> -,513,513,100.00%,Success
Error -> Error -> Error,471,0,0.00%,Stuck
Error -> Partial -> Partial,266,0,0.00%,Stuck
Partial -> Success -> -,248,248,100.00%,Success
Not Hit -> Not Hit -> Not Hit,198,0,0.00%,Stuck
Partial -> Partial -> Success,138,138,100.00%,Success
Partial -> Partial -> Error,104,0,0.00%,Stuck
Partial -> Error -> Partial,101,0,0.00%,Stuck
Error -> Success -> -,98,98,100.00%,Success
Error -> Partial -> Error,81,0,0.00%,Stuck
Partial -> Partial -> Crashed,80,15,18.80%,Success
Crashed -> - -> -,79,79,100.00%,Success
Partial -> Crashed -> Partial,77,0,0.00%,Stuck
Error -> Error -> Partial,72,0,0.00%,Stuck
Crashed -> Partial -> Partial,63,0,0.00%,Stuck
Partial -> Error -> Error,57,0,0.00%,Stuck
Not Hit -> Partial -> Partial,41,0,0.00%,Stuck
Error -> Partial -> Success,37,37,100.00%,Success
Partial -> Partial -> Not Hit,36,0,0.00%,Stuck
Partial -> Not Hit -> Partial,34,0,0.00%,Stuck
Error -> Not Hit -> Not Hit,26,0,0.00%,Stuck
Partial -> Crashed -> Crashed,26,4,15.40%,Success
Crashed -> Success -> -,25,25,100.00%,Success
Partial -> Crashed -> -,22,22,100.00%,Success
Not Hit -> Not Hit -> Partial,21,0,0.00%,Stuck
Partial -> Not Hit -> Not Hit,21,0,0.00%,Stuck
Error -> Partial -> Crashed,21,3,14.30%,Success
Crashed -> Crashed -> Partial,21,0,0.00%,Stuck
Crashed -> Partial -> Crashed,21,2,9.50%,Success
Crashed -> Crashed -> Crashed,20,1,5.00%,Success
Error -> Crashed -> Partial,18,0,0.00%,Stuck
Error -> Error -> Success,17,17,100.00%,Success
Not Hit -> Partial -> Not Hit,17,0,0.00%,Stuck
Not Hit -> Not Hit -> Error,16,0,0.00%,Stuck
Not Hit -> Success -> -,15,15,100.00%,Success
Error -> Partial -> Not Hit,15,0,0.00%,Stuck
Error -> Crashed -> -,15,15,100.00%,Success
Partial -> Error -> Success,14,14,100.00%,Success
Crashed -> Partial -> Error,13,0,0.00%,Stuck
Not Hit -> Error -> Not Hit,13,0,0.00%,Stuck
Error -> Not Hit -> Partial,12,0,0.00%,Stuck
Error -> Crashed -> Error,12,0,0.00%,Stuck
Error -> Error -> Crashed,12,3,25.00%,Success
Crashed -> Partial -> Success,11,11,100.00%,Success
Partial -> Crashed -> Success,11,11,100.00%,Success
Crashed -> Partial -> Not Hit,11,0,0.00%,Stuck
Error -> Crashed -> Crashed,10,1,10.00%,Success
Crashed -> Crashed -> Not Hit,9,0,0.00%,Stuck
Partial -> Error -> Crashed,8,0,0.00%,Stuck
Partial -> Not Hit -> Error,7,0,0.00%,Stuck
Error -> Not Hit -> Error,7,0,0.00%,Stuck
Not Hit -> Error -> Partial,7,0,0.00%,Stuck
Crashed -> Not Hit -> Partial,7,0,0.00%,Stuck
Partial -> Crashed -> Not Hit,6,0,0.00%,Stuck
Not Hit -> Partial -> Crashed,6,2,33.30%,Success
Not Hit -> Crashed -> Crashed,6,0,0.00%,Stuck
Partial -> Not Hit -> Crashed,6,1,16.70%,Success
Not Hit -> Not Hit -> Crashed,6,1,16.70%,Success
Error -> Error -> Not Hit,6,0,0.00%,Stuck
Crashed -> Crashed -> -,6,6,100.00%,Success
Not Hit -> Error -> Error,6,0,0.00%,Stuck
Partial -> Crashed -> Error,5,0,0.00%,Stuck
Error -> Not Hit -> Crashed,5,1,20.00%,Success
Crashed -> Not Hit -> Crashed,5,0,0.00%,Stuck
Not Hit -> Partial -> Error,5,0,0.00%,Stuck
Not Hit -> Crashed -> Partial,5,0,0.00%,Stuck
Error -> Not Hit -> Success,4,4,100.00%,Success
Crashed -> Error -> Partial,4,0,0.00%,Stuck
Error -> Crashed -> Success,4,4,100.00%,Success
Partial -> Error -> Not Hit,4,0,0.00%,Stuck
Not Hit -> Crashed -> Not Hit,4,0,0.00%,Stuck
Error -> Crashed -> Not Hit,3,0,0.00%,Stuck
Not Hit -> Not Hit -> Success,3,3,100.00%,Success
Not Hit -> Partial -> Success,2,2,100.00%,Success
Not Hit -> Crashed -> Error,2,0,0.00%,Stuck
Crashed -> Crashed -> Error,2,0,0.00%,Stuck
Partial -> Not Hit -> Success,2,2,100.00%,Success
Crashed -> Error -> Crashed,2,0,0.00%,Stuck
Not Hit -> Error -> Success,1,1,100.00%,Success
Not Hit -> Error -> Crashed,1,0,0.00%,Stuck
Not Hit -> Crashed -> -,1,1,100.00%,Success
Crashed -> Not Hit -> Error,1,0,0.00%,Stuck
Crashed -> Not Hit -> Not Hit,1,0,0.00%,Stuck
Crashed -> Crashed -> Success,1,1,100.00%,Success
Crashed -> Error -> Success,1,1,100.00%,Success
